speeker,date,title,sen,word
Barack Obama,2008/03/05,"Remarks Following the Ohio, Rhode Island, Texas, and Vermont Primaries",27.91176470588235,4.177555321390938
Barack Obama,2008/03/13,Remarks in Chicago Accepting the Endorsement of U.S. Admirals and Generals,27.893617021276597,4.528604118993135
Barack Obama,2008/03/19,"Address at the National Constitution Center in Philadelphia: ""A More Perfect Union""",27.56756756756757,4.5413725490196075
Barack Obama,2008/03/20,"Remarks in Fayetteville, North Carolina: ""The World Beyond Iraq""",21.133928571428573,4.443388255175328
Barack Obama,2008/03/21,"Remarks in Charleston, West Virginia: ""The Cost of War""",22.16190476190476,4.269875376020628
Barack Obama,2008/03/28,Remarks at Cooper Union in New York City,21.712871287128714,4.834017327861377
Barack Obama,2008/04/03,Remarks to the AFL-CIO in Philadelphia,21.68595041322314,4.347560975609756
Barack Obama,2008/04/05,"Remarks in Fort Wayne, Indiana: ""Remembering Dr. Martin Luther King, Jr.""",16.897435897435898,4.088012139605463
Barack Obama,2008/04/11,"Remarks in Gary, Indiana",18.916666666666668,4.375330396475771
Barack Obama,2008/04/12,"Opening Remarks at a News Conference in Indianapolis, Indiana",18.555555555555557,4.346107784431138
Barack Obama,2008/04/15,"Remarks to the Alliance for American Manufacturing in Pittsburgh, PA",20.82857142857143,4.3288751714677645
Barack Obama,2008/04/15,"Remarks at the Associated Press Annual Luncheon in Washington, DC",26.714285714285715,4.356951871657754
Barack Obama,2008/04/16,"Remarks at the Building Trades National Legislative Conference in Washington, DC",20.728571428571428,4.284631288766368
Barack Obama,2008/04/16,"Remarks at a Town Hall Meeting with Veterans and Military Families in Washington, Pennsylvania",20.76388888888889,4.373913043478261
Barack Obama,2008/04/23,Remarks Following the Pennsylvania Primary,24.27906976744186,4.285919540229885
Barack Obama,2008/04/26,"Remarks on Energy Plan in Indianapolis, Indiana",23.183673469387756,4.3125
Barack Obama,2008/04/30,"Press Conference in Winston-Salem, North Carolina on Remarks by Rev. Jeremiah A. Wright, Jr.",17.746341463414634,4.133589884551951
Barack Obama,2008/05/04,"Remarks in Indianapolis, Indiana",25.34351145038168,4.2828313253012045
Barack Obama,2008/05/07,Remarks Following the Indiana and North Carolina Primaries,26.408602150537636,4.319625407166124
Barack Obama,2008/05/10,"Remarks at an Economic Discussion in Beaverton, Oregon",15.986486486486486,4.256128486897718
Barack Obama,2008/05/13,"Remarks in Charleston, West Virginia",24.069565217391304,4.246748554913295
Barack Obama,2008/05/14,"Remarks in in Cape Girardeau, Missouri",20.921875,4.349514563106796
Barack Obama,2008/05/15,"Remarks at Macomb Community College in Warren, Michigan",22.428571428571427,4.557324840764331
Barack Obama,2008/05/19,"Remarks in Gresham, Oregon",16.985915492957748,4.470149253731344
Barack Obama,2008/05/21,Remarks Following the Kentucky and Oregon Primaries,27.078651685393258,4.352697095435684
Barack Obama,2008/05/22,"Remarks in Des Moines, Iowa",27.829268292682926,4.3361086765994745
Barack Obama,2008/05/24,"Remarks to the Cuban American National Foundation in Miami, Florida",17.59683794466403,4.515498652291105
Barack Obama,2008/05/26,"Commencement Address at Wesleyan University in Middletown, Connecticut",23.609375,4.261085373924553
Barack Obama,2008/05/27,"Remarks on Memorial Day in Las Cruces, New Mexico",23.210526315789473,4.306878306878307
Barack Obama,2008/05/28,"Remarks in North Las Vegas, Nevada",11.25,4.344444444444444
Barack Obama,2008/06/03,"Remarks at Troy High School in Troy, Michigan",22.181818181818183,4.44672131147541
Barack Obama,2008/06/04,"Remarks in St. Paul, Minnesota Claiming the Democratic Presidential Nomination Following the Montana and South Dakota Primaries",26.47422680412371,4.405373831775701
Barack Obama,2008/06/05,"Remarks to the American Israel Public Affairs Committee Policy Conference in Washington, D.C.",18.270742358078603,4.505258126195029
Barack Obama,2008/06/06,"Remarks in Bristol, Virginia",23.677966101694917,4.53042233357194
Barack Obama,2008/06/10,"Remarks in Raleigh, North Carolina",25.3,4.501537110232762
Barack Obama,2008/06/12,Remarks of Senator Barack Obama: Credit Cards Event in Chicago,20.0625,4.379283489096573
Barack Obama,2008/06/13,"Remarks in Kaukauna, Wisconsin",19.908045977011493,4.300230946882217
Barack Obama,2008/06/14,"Remarks in Columbus, Ohio",18.864197530864196,4.452879581151833
Barack Obama,2008/06/16,Remarks at the Apostolic Church of God in Chicago,23.0,4.179206049149339
Barack Obama,2008/06/17,"Remarks at Kettering University in Flint, Michigan",20.055118110236222,4.74263839811543
Barack Obama,2008/06/18,"Remarks at a Town Hall on College Affordability Taylor, Michigan",20.782608695652176,4.44839609483961
Barack Obama,2008/06/22,"Remarks to the U.S. Conference of Mayors in Miami, Florida",23.492537313432837,4.5435196950444725
Barack Obama,2008/06/24,"Remarks in Albuquerque, New Mexico",20.34246575342466,4.4
Barack Obama,2008/06/25,"Remarks in Las Vegas, Nevada",20.660377358490567,4.4771689497716896
Barack Obama,2008/06/27,"Remarks in Pittsburgh, Pennsylvania",21.058252427184467,4.449976947902259
Barack Obama,2008/06/31,"Remarks in Independence, Missouri: ""The America We Love""",29.991596638655462,4.552255533762959
Barack Obama,2008/07/02,"Remarks on Faith-Based Organizations in Zanesville, Ohio",21.71014492753623,4.618157543391188
Barack Obama,2008/07/03,"Remarks at the University of Colorado, Colorado Springs: ""A New Era of Service""",20.56140350877193,4.347838452787259
Barack Obama,2008/07/04,"Remarks in Fargo, North Dakota",23.74390243902439,4.210066769388804
Barack Obama,2008/07/08,"Remarks in St. Louis, Missouri",26.076923076923077,4.470870206489676
Barack Obama,2008/07/09,"Remarks at the 79th Annual League of United Latin American Citizens Convention in Washington, DC",24.21698113207547,4.310868718348266
Barack Obama,2008/07/11,"Remarks at the Women's Economic Security Town Hall in Fairfax, Virginia",22.9247311827957,4.323170731707317
Barack Obama,2008/07/12,"Remarks in Dayton, Ohio",21.940677966101696,4.414831981460023
Barack Obama,2008/07/14,"Remarks at the 2008 National Council of La Raza Annual Meeting in San Diego, California",21.098591549295776,4.384178905206943
Barack Obama,2008/07/14,Remarks via Satellite to the 80th Convention of the American Federation of Teachers,19.556818181818183,4.470656595002906
Barack Obama,2008/07/15,"Remarks at the 99th Annual Convention of the NAACP in Cincinnati, Ohio",26.806122448979593,4.26684430909783
Barack Obama,2008/07/16,"Remarks in Washington, DC",21.8130081300813,4.581811405143496
Barack Obama,2008/07/17,"Remarks in West Lafayette, Indiana",22.401960784313726,4.634135667396062
Barack Obama,2008/07/25,Address in Berlin at the Victory Column in Tiergarten Park,20.102564102564102,4.215242346938775
Barack Obama,2008/07/31,"Remarks at a Town Hall in Springfield, Missouri",21.58108108108108,4.39448966812774
Barack Obama,2008/07/32,"Remarks at a Town Hall in Cedar Rapids, Iowa",19.010309278350515,4.445770065075922
Barack Obama,2008/08/02,"Remarks at a Town Hall in St. Petersburg, Florida",20.460176991150444,4.357698961937716
Barack Obama,2008/08/03,"Remarks at the 2008 National Urban League Annual Conference in Orlando, Florida",20.392592592592592,4.3992008717762445
Barack Obama,2008/08/03,"Remarks at a Town Hall in Titusville, Florida",21.717391304347824,4.352352352352352
Barack Obama,2008/08/05,"Remarks in Lansing, Michigan",22.952380952380953,4.468188105117566
Barack Obama,2008/08/06,"Remarks at a Town Hall in Youngstown, Ohio",21.822429906542055,4.390149892933619
Barack Obama,2008/08/07,"Remarks at a Town Hall in Elkhart, Indiana",20.640776699029125,4.350423330197554
Barack Obama,2008/08/12,"Remarks in Kailua, Hawaii on the Russian Invasion of Georgia",21.774193548387096,4.970370370370371
Barack Obama,2008/08/20,"Remarks to the Veterans of Foreign Wars Convention in Orlando, Florida",20.559139784946236,4.576882845188284
Barack Obama,2008/08/24,"Remarks Introducing Senator Joseph Biden as the 2008 Democratic Vice-Presidential Nominee in Springfield, Illinois",17.153846153846153,4.141255605381166
Barack Obama,2008/08/24,Text Message Announcing Selection of Senator Joseph Biden as the 2008 Democratic Vice-Presidential Nominee,6.0,4.2
Barack Obama,2008/08/26,Michelle Obama: Address at the Democratic National Convention in Denver,26.022727272727273,4.090829694323144
Barack Obama,2008/09/07,"Remarks at the AARP Life@50+ National Expo in Washington, DC",18.819444444444443,4.449446494464945
Barack Obama,2008/09/10,"Remarks in Dayton, Ohio",23.941860465116278,4.482515784361341
Barack Obama,2008/09/11,"Remarks to the Congressional Hispanic Caucus Institute Gala in Washington, DC",21.344444444444445,4.389380530973451
Barack Obama,2008/09/13,"Remarks in Dover, New Hampshire",17.03448275862069,4.248481781376518
Barack Obama,2008/09/17,"Remarks in Golden, Colorado",22.31313131313131,4.599592575826166
Barack Obama,2008/09/18,"Remarks in Elko, Nevada",22.45299145299145,4.334982870194138
Barack Obama,2008/09/19,"Remarks in Espanola, New Mexico",21.702290076335878,4.423496306718255
Barack Obama,2008/09/20,"Remarks in Coral Gables, Florida",24.056603773584907,4.618039215686275
Barack Obama,2008/09/21,"Remarks in Daytona Beach, Florida",20.553333333333335,4.256243918261434
Barack Obama,2008/09/21,Interview with the New York Times on Senator Obama's Campaign Plane,28.83809523809524,4.3411492734478205
Barack Obama,2008/09/22,"Remarks in Charlotte, North Carolina",21.147727272727273,4.374529822675981
Barack Obama,2008/09/23,"Remarks in Green Bay, Wisconsin",24.3841059602649,4.51303639326453
Barack Obama,2008/09/24,"Remarks in Tampa, Florida",22.931818181818183,4.626362735381566
Barack Obama,2008/09/25,"Remarks in Dunedin, Florida",22.884955752212388,4.334880123743233
Barack Obama,2008/09/25,"Informal Exchange with Reporters in Clearwater, Florida",21.211267605633804,4.25265604249668
Barack Obama,2008/09/26,Remarks to the Clinton Global Initiative in New York City,17.79850746268657,4.3115303983228515
Barack Obama,2008/09/28,"Remarks in Greensboro, North Carolina",24.161016949152543,4.333917923535601
Barack Obama,2008/09/29,"Remarks in Detroit, Michigan",23.137931034482758,4.275707898658719
Barack Obama,2008/09/30,"Remarks in Westminster, Colorado",23.849557522123895,4.312430426716141
Barack Obama,2008/09/31,"Remarks in Reno, Nevada",21.74025974025974,4.290621266427718
Barack Obama,2008/10/02,"Remarks in La Crosse, Wisconsin",20.682539682539684,4.276029675108724
Barack Obama,2008/10/03,"Remarks in Grand Rapids, Michigan",21.571428571428573,4.308121296619031
Barack Obama,2008/10/04,"Remarks in Abington, Pennsylvania",19.43076923076923,4.1583531274742676
Barack Obama,2008/10/05,"Remarks in Newport News, Virginia",21.19158878504673,4.367364939360529
Barack Obama,2008/10/06,"Remarks in Asheville, North Carolina",20.104972375690608,4.247045891728497
Barack Obama,2008/10/09,"Remarks in Indianapolis, Indiana",19.866666666666667,4.243959731543624
Barack Obama,2008/10/10,"Remarks in Dayton, Ohio",20.385964912280702,4.2518646012621915
Barack Obama,2008/10/11,"Remarks in Chillicothe, Ohio",18.033653846153847,4.284457478005865
Barack Obama,2008/10/12,"Remarks in Philadelphia, Pennsylvania",18.943181818181817,4.219556088782244
Barack Obama,2008/10/14,"Remarks in Toledo, Ohio",22.418439716312058,4.434039860803543
Barack Obama,2008/10/16,"Remarks in Londonderry, New Hampshire",19.094444444444445,4.247308699447192
Barack Obama,2008/10/17,Remarks at the Al Smith Dinner in New York City,16.931623931623932,4.069661786976274
Barack Obama,2008/10/18,"Remarks in Roanoke, Virginia",18.755208333333332,4.311580116634269
Barack Obama,2008/10/19,"Remarks in St. Louis, Missouri",19.53846153846154,4.239595050618672
