speeker,date,title,Average sentence length,Average word lengt,Diffaculty Index,Percentage of 'We'
Obama,2007-02-10,Illinois,20.082089552238806,4.326644370122631,1.1931540342298288,1.5979189892233372
Obama,2007-03-02,"Illinois
",17.06145251396648,4.399476096922069,1.3564814814814814,1.4407334643091028
Obama,2007-03-04,Alabama,20.267857142857142,4.212114537444934,1.2243998040176385,1.475770925110132
Obama,2007-04-23,"Illinois
",22.49397590361446,4.6418496697018385,1.318294701986755,1.7496875557936082
Obama,2007-05-02,California,20.932835820895523,4.146524064171123,1.1727343144848954,2.2103386809269163
Obama,2007-05-05,Louisiana,19.31877729257642,4.356012658227848,1.2874870734229575,2.124773960216998
Obama,2007-05-07,"Michigan
",23.05732484076433,4.689779005524862,1.343042071197411,1.6022099447513811
Obama,2007-05-19,Remarks at Southern New Hampshire University Commencement,19.963768115942027,4.208711433756806,1.2882059800664452,0.9074410163339384
Obama,2007-05-29,Iowa,23.48148148148148,4.512618296529968,1.1836969001148105,1.498422712933754
Obama,2007-06-05,Virginia,16.8,4.160714285714286,1.3333333333333333,1.1904761904761905
Obama,2007-06-15,"Remarks in Spartanburg, South Carolina",25.294117647058822,4.42703488372093,1.308724832214765,1.3662790697674418
Obama,2007-06-19,"Remarks in Washington, DC at Take Back America 2007",20.80128205128205,4.107550077041602,1.1320630749014455,1.9722650231124808
Obama,2007-06-22,"Remarks in Manchester, New Hampshire: ""Taking Our Government Back""",23.321678321678323,4.456371814092954,1.2397582269979852,1.0494752623688157
Obama,2007-06-23,"Remarks in Hartford, Connecticut: ""A Politics of Conscience""",20.106508875739646,4.273396115361978,1.4099290780141844,1.5008828722778105
Obama,2007-07-05,"Pennsylvania
",21.272727272727273,4.413752913752914,1.1850594227504245,2.0202020202020203
Obama,2007-07-18,"Remarks in Washington, DC: ""Changing the Odds for Urban America""",21.8,4.376686454398273,1.2750153468385512,1.1602806260118728
Obama,2007-07-22,"Florida
",22.349593495934958,4.296471444161513,1.2477514309076043,1.2004365223717717
Obama,2007-07-26,"Remarks to the College Democrats of America in Columbia, South Carolina",21.074626865671643,4.204674220963173,1.1756548536209552,1.0977337110481586
Obama,2007-08-01,"Remarks in Washington, DC: ""The War We Need to Win""",17.726993865030675,4.4433292957259045,1.39296066252588,1.868835438657207
Obama,2007-08-21,Kansas,16.688995215311003,4.314220183486238,1.3727891156462586,1.3761467889908259
Obama,2007-09-03,"Remarks at a Labor Day Rally in Manchester, New Hampshire",19.117948717948718,4.1751609442060085,1.1801169590643275,1.636266094420601
Obama,2007-09-12,"Remarks in Clinton, Iowa: ""Turning the Page in Iraq""",15.85239852398524,4.226955307262569,1.3385955362003266,2.2346368715083798
Obama,2007-09-17,"Remarks in New York City: ""Our Common Stake in America's Prosperity""",23.18877551020408,4.515071507150715,1.2578241430700448,1.87018701870187
Obama,2007-09-18,"Remarks in Washington, DC: ""Tax Fairness for the Middle Class""",19.2,4.370710784313726,1.306713780918728,0.7965686274509803
Obama,2007-09-28,"Remarks at the Howard University Convocation in Washington, DC",19.564705882352943,4.210763680096211,1.103731815306768,1.1725796752856283
Obama,2007-10-02,"Remarks in Chicago: ""A New Beginning""",17.83203125,4.219496166484118,1.2655086848635235,2.0153340635268346
Obama,2007-10-08,"Remarks in Portsmouth, New Hampshire: ""Real Leadership for a Clean Energy Future""",21.26086956521739,4.333333333333333,1.2779503105590062,1.8404907975460123
Obama,2007-10-12,"Remarks in Des Moines, Iowa: Lessons from Iraq",22.4375,4.225626740947075,1.2578616352201257,1.6713091922005572
Obama,2007-11-01,Interview with Michael Gordon and Jeff Zeleny of The New York Times,24.822299651567945,4.454239191465469,1.3388049901510177,1.5721504772599662
Obama,2007-11-02,"Remarks in Manning, South Carolina: ""A Challenge for Our Times""",19.742268041237114,4.093994778067885,1.2215777262180973,1.2532637075718016
Obama,2007-11-03,"Remarks in Spartanburg, South Carolina: ""A Change We Can Believe In""",21.0,4.141774891774892,1.1555209953343701,1.875901875901876
Obama,2007-11-07,"Remarks in Bettendorf, Iowa: ""Reclaiming the American Dream""",17.777142857142856,4.329476052716169,1.3251121076233183,1.285760205721633
Obama,2007-11-10,Iowa,17.745454545454546,4.059426229508197,1.1907968574635241,1.485655737704918
Obama,2007-11-13,Iowa,17.60483870967742,4.065506184150252,1.3372591006423984,1.3742556115437472
Obama,2007-11-20,"Remarks in Manchester, New Hampshire: ""Our Kids, Our Future""",21.917098445595855,4.465011820330969,1.31273920174959,1.7494089834515367
Obama,2007-11-30,"Remarks at the Democratic National Committee Fall Meeting in Washington, DC",17.822429906542055,4.074986890403776,1.2408930669800236,1.3633980073413738
Obama,2007-12-05,"Remarks in Mt. Vernon, Iowa: ""A Call to Serve""",20.746913580246915,4.304373698304076,1.2632996632996634,1.0711097887533472
Obama,2007-12-18,Iowa,22.0,4.320426487093154,1.2528445006321112,1.2345679012345678
Obama,2007-12-27,"Remarks in Des Moines, Iowa: ""Our Moment Is Now""",22.436893203883496,4.320640415404586,1.207258834765998,1.9039376893119864
Obama,2008-01-03,Iowa,29.19148936170213,4.190233236151603,1.0477611940298508,1.8950437317784257
Obama,2008-01-08,Remarks Following the New Hampshire Primary,18.068493150684933,4.215314632297195,1.2470187393526406,3.8665655799848366
Obama,2008-01-20,"Remarks in Atlanta: ""The Great Need of the Hour""",20.765151515151516,4.151039766508574,1.1805887032617344,2.0795330171470265
Obama,2008-01-22,"Remarks on the Economy in Greenville, South Carolina",22.227272727272727,4.316462167689162,1.2850467289719627,1.4826175869120655
