speeker,date,title,Average sentence length,Average word lengt,Diffaculty Index,Percentage of 'We'
McCain,2008-01-08,Remarks Following the New Hampshire Primary,20.385714285714286,4.247372109320252,1.3509060955518946,1.751927119831815
McCain,2008-01-12,Michigan,18.385245901639344,4.645118145341061,1.4949944382647387,1.560410164957646
McCain,2008-01-15,Michigan,17.527272727272727,4.1161825726141075,1.4039900249376558,1.7634854771784232
McCain,2008-01-19,Remarks on South Carolina Primary Victory,25.642857142857142,4.094707520891365,1.211498973305955,1.4856081708449396
McCain,2008-01-29,Florida,26.5609756097561,4.48852157943067,1.2734864300626305,1.4692378328741964
McCain,2008-02-05,"Remarks Following the ""Super Tuesday"" Primaries and Caucuses",11.63768115942029,4.037359900373599,1.45565749235474,1.2453300124533
McCain,2008-02-12,"Remarks Following the Maryland, Virginia, and District of Columbia Primaries",24.10169491525424,4.322081575246132,1.2115085536547434,1.7580872011251758
McCain,2008-02-19,Wisconsin,29.738095238095237,4.599679743795036,1.2504504504504506,1.521216973578863
McCain,2008-03-04,Vermont,25.537037037037038,4.638143582306019,1.3572649572649573,1.305293691080493
McCain,2008-03-25,California,21.23170731707317,4.739804709936818,1.3784153005464481,0.6892590465249857
McCain,2008-03-26,Remarks to the Los Angeles World Affairs Council,22.56741573033708,4.684590490415733,1.427190332326284,1.9168533731640527
McCain,2008-03-31,Mississippi,19.61764705882353,4.388305847076462,1.432087511394713,0.22488755622188905
McCain,2008-04-01,Virginia,18.721311475409838,4.302539404553415,1.3329928498467825,0.6567425569176882
McCain,2008-04-02,Maryland,22.00877192982456,4.479473893981666,1.4171483622350673,0.5181347150259068
McCain,2008-04-03,Florida,22.931623931623932,4.440178904211703,1.347331583552056,1.3790532985464032
McCain,2008-04-04,Georgia,19.28235294117647,4.2098840756558875,1.1537450722733247,1.1592434411226358
McCain,2008-04-05,Arizona,19.876923076923077,4.520123839009288,1.444654683065279,1.3544891640866874
McCain,2008-04-07,Kansas,22.580645161290324,4.585142857142857,1.3696682464454977,1.9428571428571426
McCain,2008-04-10,"Remarks at a Small Business Roundtable in Brooklyn, New York",19.9247311827957,4.586076632487858,1.3455696202531646,0.9713977334052887
McCain,2008-04-14,Remarks to the Associated Press' Annual Meeting,25.012048192771083,4.579479768786127,1.36986301369863,0.1445086705202312
McCain,2008-04-15,"Pennsylvania
",18.646808510638298,4.452304883614787,1.2254951752158456,1.0269283432222729
McCain,2008-04-21,Alabama,19.672131147540984,4.506666666666667,1.4193548387096775,1.1666666666666667
McCain,2008-04-22,Ohio,19.5,4.277341705913135,1.1069459757442117,0.837257980115123
McCain,2008-04-23,Kentucky,22.518072289156628,4.745853397538791,1.2627118644067796,0.5350454788657035
